street,state,city,post_code,safety_flag,post_code_extension,country
3160 Otto Dr,FL,Lakeland,33812,False,5237,US
940 Tulip Dr,IN,Indianapolis,46227,False,Not Available,US
68 Rocky Top Rd,VA,Troutville,24175,False,6054,US
3330 Taylor Blair Rd,OH,West Jefferson,43162,False,Not Available,US
4254 Eagle Landing Parkway,FL,Orange Park,32065,False,Not Available,US
140 commonwealth avenue,MA,Chestnut Hill,2467,False,Not Available,US
1644 pebble creek drive,MN,sartell,56377,False,Not Available,US
29004 112th Pl,WI,Trevor,53179,False,Not Available,US
3649 North Olivers Cross Road,NC,Newton,28658,False,Not Available,US
3031 S Cherokee St,CO,Englewood,80110,False,Not Available,US
2385 Burgundy Way,CA,Fairfield,94533,False,6834,US
5956 Sunny Ln,MN,Duluth,55811,False,9729,US
9725 64th Ave,NY,Rego Park,11374,False,2213,US
16 Belknap St,NH,Laconia,03246,False,2701,US
8215 SW 72nd Ave,FL,Miami,33143,False,7790,US
27475 Ynez Rd Ste 726,CA,Temecula,92591,False,4633,US
2633 Walden Ct,FL,Kissimmee,34743,False,6038,US
322 Westgrove Ct,NC,Durham,27703,False,8957,US
70 Fountainhead Ct,CA,Martinez,94553,False,4964,US
3418 Woodruff Ave,CA,Long Beach,90808,False,2735,US
355 NE 30th Ave,FL,Homestead,33033,False,7089,US
8098 Carnation Dr,CA,Buena Park,90620,False,2111,US
9 Ferris Ave,CT,Norwalk,06854,False,1548,US
14472 Rath St,CA,La Puente,91744,False,1743,US
507 Benforest Dr,MD,Severna Park,21146,False,1731,US
10066 Ohio 48,OH,Loveland,45140,False,Not Available,US
254 Winding Hill Dr,NJ,Hackettstown,07840,False,5698,US
120 East Main Street,KY,Lexington,40507,False,Not Available,US
12357 Doran Pl,CA,North Hollywood,91605,False,3018,US
19230 Forest Park Dr NE Apt H126,WA,Lake Forest Park,98155,False,2467,US
1005 S 10th St,IA,Burlington,52601,False,5913,US
114 Private Road 2482,OH,South Point,45680,False,Not Available,US
933 28th St,WI,Chetek,54728,False,Not Available,US
6951 Aruba Ln,CO,FORT COLLINS,80525,False,Not Available,US
375 E Ramona Expressway,CA,Perris,92571,False,Not Available,US
3723 Pacific Breeze Circle,FL,Fort Lauderdale,33309,True,Not Available,US
5000 Woodland Dr,LA,New Orleans,70131,False,Not Available,US
1939 109th ave,CA,oakland,94603,False,Not Available,US
2481 Bell Ridge Dr,FL,Crestview,32536,False,Not Available,US
170 north 5th st,NY,brooklyn,11211,False,Not Available,US
1670 Granville Court,GA,Lawrenceville,30043,False,Not Available,US
993 Dassow Ct,GA,Alpharetta,30009,False,Not Available,US
1718 Beloit Dr,IL,Naperville,60565,False,6739,US
58 Grand Canyon Cir,CA,Oakley,94561,False,5229,US
43 Blister St,MD,Middle River,21220,False,4604,US
22219 Jewell Dr,VA,Bristol,24202,False,2773,US
30 Liberty Sq,CT,Bloomfield,6002,False,Not Available,US
3711 Bright Moon Ct,TX,Katy,77449,False,2145,US
1017 Worden Road,OH,Wickliffe,44092,False,Not Available,US
1231 Maple Leaf Ct,OH,Sidney,45365,False,3465,US
2703 Clarence Ave,IL,Berwyn,60402,False,2779,US
11822 Varnell St,TX,Houston,77039,False,6135,US
268 Ocean Cay Boulevard,FL,St. Augustine,32080,False,Not Available,US
4950 S King Dr Apt 3E,IL,Chicago,60615,False,2374,US
849 sequoia ave,CA,Sanger,93657,True,Not Available,US
25982 W Potter Dr,AZ,Buckeye,85396,False,7241,US
4627 1st Avenue SW,IA,Cedar Rapids,52405,False,Not Available,US
4948 olive street,CA,Montclair,91763,False,Not Available,US
323 Peck Road,NY,Wynantskill,12198,False,Not Available,US
50 Oak Dr,NY,Hopewell Junction,12533,True,Not Available,US
53 Flint St,MA,Somerville,02145,False,4123,US
113 Parker St,MA,Maynard,01754,False,2119,US
111 kingsway,TX,Del rio,78840,False,Not Available,US
710 Ashton,TX,Cactus,79013,True,Not Available,US
11081 Fuchsia ct,CA,Adelanto,92301,False,Not Available,US
6290 NW 173rd St,FL,Hialeah,33015,False,4567,US
3404 97th St,TX,Lubbock,79423,False,3843,US
308 N Margaret St,DE,Georgetown,19947,False,2316,US
17474 Ehle St,CA,Castro Valley,94546,False,3824,US
1501 NW 56th St,WA,Seattle,98107,False,Not Available,US
1804 Uruapan Plz,TX,Dallas,75211,False,Not Available,US
3301 Hudnall St Apt 3301,TX,Dallas,75235,False,Not Available,US
11705 Sycamore Dr,MI,Plymouth,48170,False,Not Available,US
12420 County Road 150,MN,Kimball,55353,True,2739,US
17517 Merlin Drive,IN,Lowell,46356,False,Not Available,US
6222 Ladera Dr,TX,Houston,77083,True,1423,US
14168 85th Rd Apt 6B,NY,Briarwood,11435,False,2590,US
23509 NELSON AVE,FL,PORT CHARLOTTE,33954,False,Not Available,US
131 Washington Street,RI,Providence,2903,False,Not Available,US
1202 W Washington St,IL,Champaign,61821,False,2625,US
4040 Mendon Rd,RI,Cumberland,02864,False,1814,US
780 Beechwood Dr,CA,Daly City,94015,False,3704,US
150 Dominion Park Dr Apt 908,TX,Houston,77090,False,6739,US
8840 Hickory Dr,IL,Orland Hills,60487,False,7215,US
39 Dongan St,NY,Staten Island,10310,False,1219,US
1570 Alderwood Street,OR,Eugene,97404,False,Not Available,US
397 Berkeley Ave,NJ,Bloomfield,07003,False,5001,US
3762 Highway 101,AR,Gamaliel,72537,False,9513,US
1145 Wainiha St,HI,Honolulu,96825,False,2652,US
9611 Keystone Trl,CO,Parker,80134,False,3357,US
10 Bergen Ct,NJ,Bayonne,07002,False,2125,US
3812 Cedar Spring Dr,TX,Midland,79703,False,6416,US
24 Oriole Ln,IL,Glendale Heights,60139,False,Not Available,US
55 Forestdale Dr,MA,Somerset,02726,False,4718,US
48 Crossland Trail,PA,Fairfield,17320,False,Not Available,US
2064 S Elms Rd,MI,Swartz Creek,48473,False,9728,US
315 Saint Andrews Lane,SC,Myrtle Beach,29588,False,Not Available,US
12802 Rockford Dr,TX,Houston,77048,False,4162,US
10397 Golden Ridge Dr,OH,Wadsworth,44281,False,8648,US
1332 Grey Oak Dr,TX,San Antonio,78213,False,Not Available,US
8279 Tapia Via Dr,CA,Rancho Cucamonga,91730,False,3132,US
733 Shelby Dr,MD,Oxon Hill,20745,False,1114,US
2125 Wentworth Ave,IL,Rockford,61108,False,8023,US
11727 47th Ave NE Unit A,WA,Marysville,98271,False,8374,US
37541 N. North Ave.,IL,Beach Park,60087,False,Not Available,US
15 Shore Road,CT,Old Greenwich,6870,False,Not Available,US
600 E 137th St,NY,Bronx,10454,False,3118,US
4343 E Princeton Ave,AZ,Gilbert,85234,False,7627,US
2425 Channing Way,CA,Berkeley,94704,False,2260,US
79 East Seacrest Avenue,NY,Lindenhurst,11757,False,Not Available,US
250 S Whiting St,VA,Alexandria,22304,False,Not Available,US
5296 Highway 507,LA,Coushatta,71019,True,Not Available,US
154 Mechanic St,CT,Danielson,06239,False,1918,US
24312 Via Las Junitas,CA,Murrieta,92562,False,Not Available,US
10743 Gail Pl,TX,Socorro,79927,False,3819,US
1886 Otis St,LA,Harvey,70058,False,4915,US
1985 Lee rd 137 Apt A,AL,Auburn,36832,False,Not Available,US
2149 Woodbury Hwy,TN,Manchester,37355,False,3525,US
2916 Sandy Grove Ct,VA,Richmond,23223,False,1500,US
655 Barrie Ln,AL,Berry,35546,False,2449,US
2004 Thornhill Dr,OH,Akron,44313,False,5314,US
2534 Greenstone Ct,CA,San Jose,95122,False,1153,US
180 Kennedy Dr. Apt 511,MA,Malden,2148,False,Not Available,US
7736 Maple Ave,MD,Takoma Park,20912,False,Not Available,US
3202 Gary Ln,TX,Spring,77380,False,1208,US
3707 Shadow Wick Ln,TX,Houston,77082,False,5659,US
710 Burnt Mills Ave,MD,Silver Spring,20901,False,1443,US
354 Magnolia Dr,NY,Selden,11784,False,1323,US
415 Ferrell Ave,NC,Charlotte,28216,True,3186,US
11 Sara Ct.,WY,Laramie,82070,False,Not Available,US
447 Little Sorrel Dr,VA,Strasburg,22657,False,3610,US
16739 W Yavapai St,AZ,Goodyear,85338,False,7343,US
506 Harrison Rd,AL,Prattville,36067,False,4443,US
114 S Imperial Dr,TX,Denison,75020,False,3535,US
