,inputs.city,inputs.country,inputs.post_code,inputs.post_code_extension,inputs.safety_flag,inputs.state,inputs.street,attomdata_attom_id.row_id,attomdata_attom_id.client_id,attomdata_attom_id.attom_id,attomdata_attom_id.is_hit,attomdata_attom_id.error
0,Lakeland,US,33812,5237,False,FL,3160 Otto Dr,0,,162278089,True,
1,Indianapolis,US,46227,Not Available,False,IN,940 Tulip Dr,1,,28461481,True,
2,Troutville,US,24175,6054,False,VA,68 Rocky Top Rd,2,,214628965,True,
3,West Jefferson,US,43162,Not Available,False,OH,3330 Taylor Blair Rd,3,,246515148,True,
4,Orange Park,US,32065,Not Available,False,FL,4254 Eagle Landing Parkway,4,,164680663,True,
5,Chestnut Hill,US,2467,Not Available,False,MA,140 commonwealth avenue,5,,202686834,True,
6,sartell,US,56377,Not Available,False,MN,1644 pebble creek drive,6,,,False,
7,Trevor,US,53179,Not Available,False,WI,29004 112th Pl,7,,205971698,True,
8,Newton,US,28658,Not Available,False,NC,3649 North Olivers Cross Road,8,,,False,
9,Englewood,US,80110,Not Available,False,CO,3031 S Cherokee St,9,,146962509,True,
10,Fairfield,US,94533,6834,False,CA,2385 Burgundy Way,10,,156023420,True,
11,Duluth,US,55811,9729,False,MN,5956 Sunny Ln,11,,141071148,True,
12,Rego Park,US,11374,2213,False,NY,9725 64th Ave,12,,169759254,True,
13,Laconia,US,3246,2701,False,NH,16 Belknap St,13,,155173818,True,
14,Miami,US,33143,7790,False,FL,8215 SW 72nd Ave,14,,324593024,True,
15,Temecula,US,92591,4633,False,CA,27475 Ynez Rd Ste 726,15,,,False,
16,Kissimmee,US,34743,6038,False,FL,2633 Walden Ct,16,,17572120,True,
17,Durham,US,27703,8957,False,NC,322 Westgrove Ct,17,,203959324,True,
18,Martinez,US,94553,4964,False,CA,70 Fountainhead Ct,18,,18550459,True,
19,Long Beach,US,90808,2735,False,CA,3418 Woodruff Ave,19,,154870059,True,
20,Homestead,US,33033,7089,False,FL,355 NE 30th Ave,20,,16689425,True,
21,Buena Park,US,90620,2111,False,CA,8098 Carnation Dr,21,,22645852,True,
22,Norwalk,US,6854,1548,False,CT,9 Ferris Ave,22,,198700455,True,
23,La Puente,US,91744,1743,False,CA,14472 Rath St,23,,40351371,True,
24,Severna Park,US,21146,1731,False,MD,507 Benforest Dr,24,,145546539,True,
25,Loveland,US,45140,Not Available,False,OH,10066 Ohio 48,25,,,False,
26,Hackettstown,US,7840,5698,False,NJ,254 Winding Hill Dr,26,,196012255,True,
27,Lexington,US,40507,Not Available,False,KY,120 East Main Street,27,,210516099,True,
28,North Hollywood,US,91605,3018,False,CA,12357 Doran Pl,28,,148885304,True,
29,Lake Forest Park,US,98155,2467,False,WA,19230 Forest Park Dr NE Apt H126,29,,,False,
